"cod_municipio","municipio","ano","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_escolaridade_agrupada","orcamento_perc_executado"
"1100015","Alta Floresta DOeste",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100015","Alta Floresta DOeste",2014,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","Masculino","53",NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100015","Alta Floresta DOeste",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","-","-","-","-","Masculino","36","Parda","Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100015","Alta Floresta DOeste",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","Masculino","39","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","Até 10%"
"1100023","Ariquemes",2006,"Fundação pública","Não","Não","Não","Não","Não","Sim","Sim","Não","Sim",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100023","Ariquemes",2014,"Setor subordinado à chefia do Executivo","Não","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Masculino","54",NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100023","Ariquemes",2018,"Órgão da administração indireta","Não","Sim","Sim","Sim","Não","Não","Sim","Sim","Não","Masculino","43","Parda","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"1100023","Ariquemes",2021,"Setor subordinado diretamente  à chefia do Executivo","Não","Sim","Não","Sim","Não","Sim","Sim","Sim","Sim","Feminino","24","Branca","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"1100031","Cabixi",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100031","Cabixi",2014,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","45",NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100031","Cabixi",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","-","-","-","-","Feminino","59","Parda","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"1100031","Cabixi",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","51","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"1100049","Cacoal",2006,"Fundação pública","Não","Não","Não","Não","Não","Sim","Sim","Sim","Sim",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100049","Cacoal",2014,"Órgão da administração indireta","Não","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Feminino","39",NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100049","Cacoal",2018,"Órgão da administração indireta","Sim","Sim","Não","Não","Não","Não","Não","Não","Sim","Masculino","64","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100049","Cacoal",2021,"Órgão da administração indireta","Não","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Masculino","30","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","Mais de 90%"
"1100056","Cerejeiras",2006,"Setor subordinado a outra secretaria","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Não disponível","Sem Informação",NA
"1100056","Cerejeiras",2014,"Setor subordinado à outra secretaria","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","53",NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100056","Cerejeiras",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","Feminino","54","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"1100056","Cerejeiras",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","Feminino","57","Parda","Especialização","Ensino Médio a Pós-graduação lato sensu","Até 10%"
"1100064","Colorado do Oeste",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100064","Colorado do Oeste",2014,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","55",NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100064","Colorado do Oeste",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","40","Parda","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"1100064","Colorado do Oeste",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","48","Parda","Especialização","Ensino Médio a Pós-graduação lato sensu","0%"
"1100072","Corumbiara",2006,"Não possui estrutura específica","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Não aplicável","Sem Informação",NA
"1100072","Corumbiara",2014,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","50",NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100072","Corumbiara",2018,"Setor subordinado a outra secretaria","Não","Não","Não","Não","Não","-","-","-","-","Masculino","35","Parda","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"1100072","Corumbiara",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","65","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"1100080","Costa Marques",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Não","Sim","Não","Não",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100080","Costa Marques",2014,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","53",NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100080","Costa Marques",2018,"Setor subordinado a outra secretaria","Não","Não","Não","Não","Não","-","-","-","-","Masculino","57","Parda","Mestrado","Mestrado e doutorado",NA
"1100080","Costa Marques",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Sim","Não","Não","Sim","Não","Não","Não","Masculino","60","Branca","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","0%"
"1100098","Espigão DOeste",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100098","Espigão DOeste",2014,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Sim","Sim","Não","Feminino","58",NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100098","Espigão DOeste",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Não","Não","Não","Sim","Masculino","38","Parda","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"1100098","Espigão DOeste",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Sim","Não","Não","Sim","Sim","Não","Não","Masculino","30","Parda","Especialização","Ensino Médio a Pós-graduação lato sensu","Até 10%"
"1100106","Guajará-Mirim",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Sim","Não","Não",NA,NA,NA,"Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100106","Guajará-Mirim",2014,"Secretaria em conjunto com outras políticas","Não","Sim","Sim","Não","Não","Sim","Sim","Não","Não","Feminino","32",NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100106","Guajará-Mirim",2018,"Secretaria em conjunto com outras políticas setoriais","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Feminino","36","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"1100106","Guajará-Mirim",2021,"Secretaria exclusiva","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Não","Masculino","49","Branca","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","31% a 40%"
"1100114","Jaru",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100114","Jaru",2014,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Sim","Sim","Masculino","39",NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100114","Jaru",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Não","Não","Não","Não","Feminino","66","Branca","Mestrado","Mestrado e doutorado",NA
"1100114","Jaru",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","69","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu","0%"
"1100122","Ji-Paraná",2006,"Fundação pública","Não","Sim","Não","Não","Não","Sim","Sim","Sim","Sim",NA,NA,NA,"Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"1100122","Ji-Paraná",2014,"Secretaria exclusiva","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Feminino","38",NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100122","Ji-Paraná",2018,"Órgão da administração indireta","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Feminino","34","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"1100122","Ji-Paraná",2021,"Órgão da administração indireta","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Masculino","45","Branca","Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"1100130","Machadinho DOeste",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"1100130","Machadinho DOeste",2014,"Não possui estrutura","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","-","-",NA,"-","Sem Informação",NA
