"cod_uf","sigla_uf","nome_uf","regiao","ano","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","tem_lei_incentivo","gestor_sexo","gestor_cor_raca","gestor_escolaridade","cons_paritario","cons_competencia","pi_arte_cultura","pm_parceria_cultura","ir_gt_cultura","ir_patrimonio_afro","ir_patrimonio_quilombola","gestor_escolaridade_agrupada"
"11","RO","Rondônia","Norte",2012,"Setor Subordinado / Outros",NA,"Sim","Sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sem Informação"
"11","RO","Rondônia","Norte",2014,"Secretaria Conjunta","Não","Não","Sim","Sim",NA,NA,"Feminino",NA,"Ensino superior completo",NA,NA,NA,NA,NA,NA,NA,"Ensino Superior"
"11","RO","Rondônia","Norte",2018,"Secretaria Exclusiva / Fundação","Sim","Sim","Sim","Não","Não","Não","Masculino","Pardo","Ensino superior incompleto","Paritário","Deliberativo",NA,NA,NA,NA,NA,"Ensino Superior"
"11","RO","Rondônia","Norte",2021,"Secretaria Conjunta","Sim","Sim","Sim","Sim","Não","Não","Masculino","Preta","Especialização","Paritário","Deliberativo",NA,NA,NA,NA,NA,"Pós-Graduação"
"11","RO","Rondônia","Norte",2023,"Setor Subordinado / Outros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não","Não",NA,NA,NA,"Sem Informação"
"11","RO","Rondônia","Norte",2024,"Setor Subordinado / Outros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não","Não","Não","Sem Informação"
"12","AC","Acre","Norte",2012,"Setor Subordinado / Outros",NA,"Sim","Sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sem Informação"
"12","AC","Acre","Norte",2014,"Secretaria Exclusiva / Fundação","Não","Não","Sim","Sim",NA,NA,"Feminino",NA,"Pós-graduação",NA,NA,NA,NA,NA,NA,NA,"Pós-Graduação"
"12","AC","Acre","Norte",2018,"Secretaria Exclusiva / Fundação","Não","Sim","Sim","Sim","Sim","Sim","Feminino","Pardo","Especialização","Paritário","Deliberativo",NA,NA,NA,NA,NA,"Pós-Graduação"
"12","AC","Acre","Norte",2021,"Secretaria Exclusiva / Fundação","Não","Sim","Sim","Sim","Sim","Sim","Masculino","Parda","Ensino superior completo","Paritário","Deliberativo",NA,NA,NA,NA,NA,"Ensino Superior"
"12","AC","Acre","Norte",2023,"Setor Subordinado / Outros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,NA,NA,"Sem Informação"
