"cod_municipio","municipio","cod_uf","uf","regiao","ano","populacao","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_idade_num","gestor_faixa_etaria","gestor_cor_raca_limpa","gestor_grupo_raca","gestor_escolaridade_agrupada","plano_tem_lei","plano_participacao_soc","sec_educacao","sec_esporte","sec_turismo","cons_qtd_membros","cons_cap_continuada","cons_cap_eventual","cons_cap_nao_realiza","orcamento_perc_executado"
"1100015","Alta Floresta DOeste","11","RO","Norte",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Pós-graduação",NA,NA,NA,NA,"Pós-Graduação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100015","Alta Floresta DOeste","11","RO","Norte",2014,NA,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","Masculino","53",NA,"Ensino superior completo",53,"50 a 59 anos",NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100015","Alta Floresta DOeste","11","RO","Norte",2018,NA,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","-","-","-","-","Masculino","36","Parda","Ensino médio (2º Grau) completo",36,"30 a 39 anos","Parda","Negros (Pretos e Pardos)","Ensino Médio","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
"1100015","Alta Floresta DOeste","11","RO","Norte",2021,22516,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","Masculino","39","Parda","Ensino superior completo",39,"30 a 39 anos","Parda","Negros (Pretos e Pardos)","Ensino Superior","Não","Não","Não","Não","Não",NA,"Não","Não","Não","Até 10%"
"1100023","Ariquemes","11","RO","Norte",2006,NA,"Fundação pública","Não","Não","Não","Não","Não","Sim","Sim","Não","Sim",NA,NA,NA,"Pós-graduação",NA,NA,NA,NA,"Pós-Graduação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100023","Ariquemes","11","RO","Norte",2014,NA,"Setor subordinado à chefia do Executivo","Não","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Masculino","54",NA,"Ensino superior completo",54,"50 a 59 anos",NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100023","Ariquemes","11","RO","Norte",2018,NA,"Órgão da administração indireta","Não","Sim","Sim","Sim","Não","Não","Sim","Sim","Não","Masculino","43","Parda","Especialização",43,"40 a 49 anos","Parda","Negros (Pretos e Pardos)","Pós-Graduação","Não","Não","Não","Não","Não",36,"Não","Sim","Não",NA
"1100023","Ariquemes","11","RO","Norte",2021,111148,"Setor subordinado diretamente  à chefia do Executivo","Não","Sim","Não","Sim","Não","Sim","Sim","Sim","Sim","Feminino","24","Branca","Ensino superior completo",24,"Até 29 anos","Branca","Brancos","Ensino Superior","Não","Não","Não","Não","Não",20,"Não","Não","Sim","Sem Informação"
"1100031","Cabixi","11","RO","Norte",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior completo",NA,NA,NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100031","Cabixi","11","RO","Norte",2014,NA,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","45",NA,"Pós-graduação",45,"40 a 49 anos",NA,NA,"Pós-Graduação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
