"exercicio";"uf";"origem";"valor_nominal_final";"valor_real_final"
"2019";"AC";"Recurso Próprio (Estadual)";"18089020,41";"24120620,8042889759"
"2019";"AL";"Recurso Próprio (Estadual)";"20762027,48";"27684914,9717614502"
"2019";"AM";"Recurso Próprio (Estadual)";"164934691,06";"219930491,0027911663"
"2019";"AP";"Recurso Próprio (Estadual)";"9313974,78";"12419625,2067300770"
"2019";"BA";"Recurso Próprio (Estadual)";"171153201,17";"228222500,2399540246"
"2019";"DF";"Recurso Próprio (Estadual)";"332045378,27";"442762542,0025364757"
"2019";"ES";"Recurso Próprio (Estadual)";"35696245,13";"47598796,0321880728"
"2019";"GO";"Recurso Próprio (Estadual)";"5241936,40";"6989806,9281132324"
"2019";"MA";"Recurso Próprio (Estadual)";"13170157,11";"17561612,4247172736"
"2019";"MG";"Recurso Próprio (Estadual)";"129153572,93";"172218521,9295471907"
"2019";"MS";"Recurso Próprio (Estadual)";"40374589,68";"53837087,1239477471"
"2019";"MT";"Recurso Próprio (Estadual)";"45018445,06";"60029388,9817650020"
"2019";"PA";"Recurso Próprio (Estadual)";"146525723,20";"195383239,5162523687"
"2019";"PB";"Recurso Próprio (Estadual)";"14903641,34";"19873109,3899664208"
"2019";"PE";"Recurso Próprio (Estadual)";"163266609,94";"217706205,1512438655"
"2019";"PI";"Recurso Próprio (Estadual)";"28299923,68";"37736246,2092328519"
"2019";"PR";"Recurso Próprio (Estadual)";"78492895,88";"104665555,9250384271"
"2019";"RJ";"Recurso Próprio (Estadual)";"117462879,17";"156629684,9039590657"
"2019";"RN";"Recurso Próprio (Estadual)";"25045683,92";"33396913,2062247396"
"2019";"RO";"Recurso Próprio (Estadual)";"6765623,74";"9021552,3581818659"
"2019";"RR";"Recurso Próprio (Estadual)";"4565856,95";"6088295,6424049614"
"2019";"RS";"Recurso Próprio (Estadual)";"59497302,19";"79336074,1751289815"
"2019";"SC";"Recurso Próprio (Estadual)";"36515912,85";"48691773,6402351260"
