"ano";"fonte";"valor";"indice_medio_ano";"fator_correcao";"valor_real";"valor_nominal"
"2003";"Ministério da Cultura (Órgão 42000)";"274877589,920";"1,06612784512945";"3,196884843514917";"878752001,03715658";"274877589,920"
"2004";"Ministério da Cultura (Órgão 42000)";"398709116,840";"1,13647095522635";"2,999010167105175";"1195732695,12068534";"398709116,840"
"2005";"Ministério da Cultura (Órgão 42000)";"542635256,030";"1,21454857120351";"2,806217906926709";"1522752772,40114641";"542635256,030"
"2006";"Incentivo (ANCINE)";"170100044,289";"1,26536181529569";"2,693528371209061";"458169295,23633933";"170100044,289"
"2006";"Lei Rouanet";"362849884,000";"1,26536181529569";"2,693528371209061";"977346457,04391670";"362849884,000"
"2006";"Ministério da Cultura (Órgão 42000)";"661165745,930";"1,26536181529569";"2,693528371209061";"1780868694,73405647";"661165745,930"
"2007";"FSA (UO 74912)";"10296089,000";"1,31143813949280";"2,598893418382441";"26758437,93717985";"10296089,000"
"2007";"Incentivo (ANCINE)";"157710391,040";"1,31143813949280";"2,598893418382441";"409872497,28437716";"157710391,040"
"2007";"Lei Rouanet";"661259201,000";"1,31143813949280";"2,598893418382441";"1718542185,32373190";"661259201,000"
"2007";"Ministério da Cultura (Órgão 42000)";"823885275,970";"1,31143813949280";"2,598893418382441";"2141190021,22063422";"823885275,970"
"2008";"FSA (UO 74912)";"7140000,000";"1,38590550887034";"2,459249874922324";"17559044,10694539";"7140000,000"
"2008";"Incentivo (ANCINE)";"168083835,930";"1,38590550887034";"2,459249874922324";"413360152,48731691";"168083835,930"
"2008";"Lei Rouanet";"857285802,000";"1,38590550887034";"2,459249874922324";"2108280001,34118390";"857285802,000"
"2008";"Ministério da Cultura (Órgão 42000)";"982563166,060";"1,38590550887034";"2,459249874922324";"2416368343,23633718";"982563166,060"
"2009";"FSA (UO 74912)";"3012989,220";"1,45365000112340";"2,344641383214377";"7064379,21239081";"3012989,220"
"2009";"Incentivo (ANCINE)";"141451190,830";"1,45365000112340";"2,344641383214377";"331652315,72497201";"141451190,830"
"2009";"Lei Rouanet";"1038067355,000";"1,45365000112340";"2,344641383214377";"2433895679,09688997";"1038067355,000"
"2009";"Ministério da Cultura (Órgão 42000)";"1222185503,620";"1,45365000112340";"2,344641383214377";"2865586709,75215673";"1222185503,620"
"2010";"FSA (UO 74912)";"3570000,000";"1,52690017610004";"2,232161606038240";"7968816,93355652";"3570000,000"
"2010";"Incentivo (ANCINE)";"182199573,856";"1,52690017610004";"2,232161606038240";"406698893,39789182";"182199573,856"
"2010";"Lei Rouanet";"1319281822,000";"1,52690017610004";"2,232161606038240";"2944850230,61257505";"1319281822,000"
"2010";"Ministério da Cultura (Órgão 42000)";"1497314209,460";"1,52690017610004";"2,232161606038240";"3342247290,53211117";"1497314209,460"
"2011";"FSA (UO 74912)";"54570000,000";"1,62823082190606";"2,093246180755675";"114228444,08383721";"54570000,000"
"2011";"Incentivo (ANCINE)";"178913747,350";"1,62823082190606";"2,093246180755675";"374510518,32507336";"178913747,350"
"2011";"Lei Rouanet";"1328587944,000";"1,62823082190606";"2,093246180755675";"2781061639,57603502";"1328587944,000"
"2011";"Ministério da Cultura (Órgão 42000)";"1644705223,520";"1,62823082190606";"2,093246180755675";"3442772927,60214949";"1644705223,520"
"2012";"FSA (UO 74912)";"80855000,000";"1,71621443661086";"1,985933620319699";"160572662,87094924";"80855000,000"
"2012";"Incentivo (ANCINE)";"158354824,850";"1,71621443661086";"1,985933620319699";"314482170,60945225";"158354824,850"
"2012";"Lei Rouanet";"1642593297,000";"1,71621443661086";"1,985933620319699";"3262081253,02407980";"1642593297,000"
"2012";"Ministério da Cultura (Órgão 42000)";"1964609509,090";"1,71621443661086";"1,985933620319699";"3901584074,90160942";"1964609509,090"
"2013";"FSA (UO 74912)";"264200000,000";"1,82269214073536";"1,869919704579661";"494032785,94994640";"264200000,000"
"2013";"Incentivo (ANCINE)";"192781229,120";"1,82269214073536";"1,869919704579661";"360485419,00457436";"192781229,120"
"2013";"Lei Rouanet";"1241345372,000";"1,82269214073536";"1,869919704579661";"2321216171,29156923";"1241345372,000"
"2013";"Ministério da Cultura (Órgão 42000)";"2279390280,250";"1,82269214073536";"1,869919704579661";"4262276799,46683073";"2279390280,250"
"2014";"Incentivo (ANCINE)";"274441147,850";"1,93805370290285";"1,758613780535885";"482635984,55509639";"274441147,850"
"2014";"Lei Rouanet";"1419224443,000";"1,93805370290285";"1,758613780535885";"2495867663,13316488";"1419224443,000"
"2014";"Ministério da Cultura (Órgão 42000)";"1979252348,670";"1,93805370290285";"1,758613780535885";"3480740455,52907753";"1979252348,670"
"2015";"FSA (UO 74912)";"101214759,820";"2,11306286251234";"1,612960981809708";"163255458,37290093";"101214759,820"
"2015";"Incentivo (ANCINE)";"280212960,660";"2,11306286251234";"1,612960981809708";"451972572,14195865";"280212960,660"
"2015";"Lei Rouanet";"1323390560,000";"2,11306286251234";"1,612960981809708";"2134577336,97529888";"1323390560,000"
"2015";"Ministério da Cultura (Órgão 42000)";"1921558979,780";"2,11306286251234";"1,612960981809708";"3099399658,63120890";"1921558979,780"
"2016";"FSA (UO 74912)";"110398823,820";"2,29773506489349";"1,483325036649309";"163757339,38884211";"110398823,820"
"2016";"Incentivo (ANCINE)";"339805058,030";"2,29773506489349";"1,483325036649309";"504041350,15597039";"339805058,030"
"2016";"Lei Rouanet";"1304971001,000";"2,29773506489349";"1,483325036649309";"1935696157,88461065";"1304971001,000"
"2016";"Ministério da Cultura (Órgão 42000)";"1990516928,400";"2,29773506489349";"1,483325036649309";"2952583595,76999998";"1990516928,400"
"2017";"FSA (UO 74912)";"104000000,000";"2,37692207034395";"1,433908158735028";"149126448,50844297";"104000000,000"
"2017";"Incentivo (ANCINE)";"417280908,980";"2,37692207034395";"1,433908158735028";"598342499,87079084";"417280908,980"
"2017";"Lei Rouanet";"1357912134,000";"2,37692207034395";"1,433908158735028";"1947121287,78789306";"1357912134,000"
"2017";"Ministério da Cultura (Órgão 42000)";"1978986070,760";"2,37692207034395";"1,433908158735028";"2837684272,88574028";"1978986070,760"
"2018";"FSA (UO 74912)";"104000000,000";"2,46402857463498";"1,383217704708820";"143854641,28971732";"104000000,000"
"2018";"Incentivo (ANCINE)";"411094278,870";"2,46402857463498";"1,383217704708820";"568632884,83748913";"411094278,870"
"2018";"Lei Rouanet";"1427752087,000";"2,46402857463498";"1,383217704708820";"1974891964,67336798";"1427752087,000"
"2018";"Ministério da Cultura (Órgão 42000)";"2088214569,040";"2,46402857463498";"1,383217704708820";"2888455363,12702703";"2088214569,040"
"2019";"FSA (UO 74912)";"51500000,000";"2,55601175355610";"1,333439857857343";"68672152,67965317";"51500000,000"
"2019";"Incentivo (ANCINE)";"325202921,260";"2,55601175355610";"1,333439857857343";"433638537,09972715";"325202921,260"
"2019";"Lei Rouanet";"1548717488,000";"2,55601175355610";"1,333439857857343";"2065121627,05990171";"1548717488,000"
"2019";"Outros Órgãos (Cidadania/Turismo)";"1760809273,580";"2,55601175355610";"1,333439857857343";"2347933267,47640705";"1760809273,580"
"2020";"FSA (UO 74912)";"100194055,000";"2,63810039508484";"1,291947780188225";"129445486,94530691";"100194055,000"
"2020";"Incentivo (ANCINE)";"196560124,620";"2,63810039508484";"1,291947780188225";"253945416,67632985";"196560124,620"
"2020";"Lei Aldir Blanc 1";"3000000000,000";"2,63810039508484";"1,291947780188225";"3875843340,56467438";"3000000000,000"
"2020";"Lei Rouanet";"1279618486,000";"2,63810039508484";"1,291947780188225";"1653200262,47551703";"1279618486,000"
"2020";"Outros Órgãos (Cidadania/Turismo)";"1166857556,950";"2,63810039508484";"1,291947780188225";"1507519030,49740767";"1166857556,950"
"2021";"FSA (UO 74912)";"75500000,000";"2,85710424338971";"1,192916904319843";"90065226,27614816";"75500000,000"
"2021";"Incentivo (ANCINE)";"199763138,750";"2,85710424338971";"1,192916904319843";"238300825,07486528";"199763138,750"
"2021";"Lei Rouanet";"1471523524,000";"2,85710424338971";"1,192916904319843";"1755405286,88390636";"1471523524,000"
"2021";"Outros Órgãos (Cidadania/Turismo)";"1185783148,190";"2,85710424338971";"1,192916904319843";"1414540762,33345270";"1185783148,190"
"2022";"FSA (UO 74912)";"105240000,000";"3,12224169926702";"1,091615665162527";"114881632,60170433";"105240000,000"
"2022";"Incentivo (ANCINE)";"543071151,050";"3,12224169926702";"1,091615665162527";"592824975,78402483";"543071151,050"
"2022";"Lei Rouanet";"1830316145,000";"3,12224169926702";"1,091615665162527";"1998001776,08188701";"1830316145,000"
"2022";"Outros Órgãos (Cidadania/Turismo)";"1138484511,230";"3,12224169926702";"1,091615665162527";"1242787527,00357080";"1138484511,230"
"2023";"FSA (UO 74912)";"158570937,000";"3,26566280547914";"1,043674179595366";"165496392,58114344";"158570937,000"
"2023";"Incentivo (ANCINE)";"376233440,900";"3,26566280547914";"1,043674179595366";"392665127,76764905";"376233440,900"
"2023";"Lei Paulo Gustavo";"3862000000,000";"3,26566280547914";"1,043674179595366";"4030669681,59730291";"3862000000,000"
"2023";"Lei Rouanet";"2079586327,000";"3,26566280547914";"1,043674179595366";"2170410553,72946548";"2079586327,000"
"2023";"Ministério da Cultura (Órgão 42000)";"3075614611,340";"3,26566280547914";"1,043674179595366";"3209939556,24179459";"3075614611,340"
"2023";"PNAB (UO 73120)";"3000000000,000";"3,26566280547914";"1,043674179595366";"3131022538,78609753";"3000000000,000"
"2024";"FSA (UO 74912)";"409549577,000";"3,40828794934354";"1,000000000000000";"409549577,00000000";"409549577,000"
"2024";"Incentivo (ANCINE)";"267682305,500";"3,40828794934354";"1,000000000000000";"267682305,50000000";"267682305,500"
"2024";"Lei Rouanet";"2997724131,000";"3,40828794934354";"1,000000000000000";"2997724131,00000000";"2997724131,000"
"2024";"Ministério da Cultura (Órgão 42000)";"2553365326,230";"3,40828794934354";"1,000000000000000";"2553365326,23000002";"2553365326,230"
"2024";"PNAB (UO 73120)";"10804000,000";"3,40828794934354";"1,000000000000000";"10803999,99999999";"10804000,000"
"2025";"FSA (UO 74912)";"275650000,000";"3,57927339759440";"0,952229005930148";"262481925,48464525";"275650000,000"
"2025";"Incentivo (ANCINE)";"437656620,470";"3,57927339759440";"0,952229005930148";"416749328,64889604";"437656620,470"
"2025";"Lei Rouanet";"2749255826,000";"3,57927339759440";"0,952229005930148";"2617921142,23964739";"2749255826,000"
"2025";"Ministério da Cultura (Órgão 42000)";"2890065680,850";"3,57927339759440";"0,952229005930148";"2752004370,34863138";"2890065680,850"
"2025";"PNAB (UO 73120)";"2281547329,960";"3,57927339759440";"0,952229005930148";"2172555545,99039268";"2281547329,960"
