"porte_populacional";"perfil_mudanca";"n";"pct";"pct_formatado"
"Grande Porte";"1. Despertados (Efeito Indutor)";"160";"0,528052805280528004";"52,8%"
"Grande Porte";"2. Constantes (Sustentabilidade)";"115";"0,379537953795379523";"38,0%"
"Grande Porte";"4. Efeito Substituição (Retração Local)";"28";"0,092409240924092403";"9,2%"
"Metrópole";"1. Despertados (Efeito Indutor)";"7";"0,466666666666666674";"46,7%"
"Metrópole";"2. Constantes (Sustentabilidade)";"6";"0,400000000000000022";"40,0%"
"Metrópole";"4. Efeito Substituição (Retração Local)";"2";"0,133333333333333331";"13,3%"
"Médio Porte";"1. Despertados (Efeito Indutor)";"225";"0,665680473372781023";"66,6%"
"Médio Porte";"2. Constantes (Sustentabilidade)";"89";"0,263313609467455634";"26,3%"
"Médio Porte";"4. Efeito Substituição (Retração Local)";"24";"0,071005917159763315";"7,1%"
"Pequeno Porte I";"1. Despertados (Efeito Indutor)";"2947";"0,788600481669788578";"78,9%"
"Pequeno Porte I";"2. Constantes (Sustentabilidade)";"514";"0,137543484078137546";"13,8%"
"Pequeno Porte I";"3. Inertes (Dependência Exclusiva)";"2";"0,000535188654000535";"0,1%"
"Pequeno Porte I";"4. Efeito Substituição (Retração Local)";"274";"0,073320845598073323";"7,3%"
"Pequeno Porte II";"1. Despertados (Efeito Indutor)";"775";"0,744476464937560034";"74,4%"
"Pequeno Porte II";"2. Constantes (Sustentabilidade)";"204";"0,195965417867435154";"19,6%"
"Pequeno Porte II";"4. Efeito Substituição (Retração Local)";"62";"0,059558117195004805";"6,0%"
