"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"1100015";"ALTA FLORESTA D'OESTE";"RO";"Pequeno Porte II";"0,00000000000000e+00";"8,36944194481230e+00";"1. Despertados (Efeito Indutor)"
"1100023";"ARIQUEMES";"RO";"Médio Porte";"2,64538780780526e+01";"2,61588238876142e+01";"2. Constantes (Sustentabilidade)"
"1100031";"CABIXI";"RO";"Pequeno Porte I";"0,00000000000000e+00";"9,52804829565342e+00";"1. Despertados (Efeito Indutor)"
"1100049";"CACOAL";"RO";"Médio Porte";"1,64887094463021e+01";"4,13658126997748e+01";"1. Despertados (Efeito Indutor)"
"1100056";"CEREJEIRAS";"RO";"Pequeno Porte I";"1,07838694209171e+01";"4,17856161975921e+01";"1. Despertados (Efeito Indutor)"
"1100064";"COLORADO DO OESTE";"RO";"Pequeno Porte I";"3,50005422661719e-01";"1,21825746940973e+00";"2. Constantes (Sustentabilidade)"
"1100080";"COSTA MARQUES";"RO";"Pequeno Porte I";"0,00000000000000e+00";"9,60792023399336e+00";"1. Despertados (Efeito Indutor)"
"1100098";"ESPIGAO D'OESTE";"RO";"Pequeno Porte II";"1,06604271246470e+00";"4,42273872149879e+01";"1. Despertados (Efeito Indutor)"
"1100106";"GUAJARA-MIRIM";"RO";"Pequeno Porte II";"6,76810856898599e+00";"8,25325579853577e+00";"2. Constantes (Sustentabilidade)"
"1100114";"JARU";"RO";"Médio Porte";"2,80908176989395e+00";"0,00000000000000e+00";"2. Constantes (Sustentabilidade)"
"1100122";"JI-PARANA";"RO";"Grande Porte";"2,06389396167663e+01";"2,87924106806923e+01";"2. Constantes (Sustentabilidade)"
"1100130";"MACHADINHO D'OESTE";"RO";"Pequeno Porte II";"1,08799152208180e+00";"0,00000000000000e+00";"2. Constantes (Sustentabilidade)"
"1100148";"NOVA BRASILANDIA D'OESTE";"RO";"Pequeno Porte I";"1,94453277777006e+01";"9,00614431587471e+00";"4. Efeito Substituição (Retração Local)"
"1100155";"OURO PRETO DO OESTE";"RO";"Pequeno Porte II";"1,89124874796416e+00";"4,53502868673946e+01";"1. Despertados (Efeito Indutor)"
"1100189";"PIMENTA BUENO";"RO";"Pequeno Porte II";"1,04838919833889e+01";"1,70398969445661e+01";"2. Constantes (Sustentabilidade)"
"1100205";"PORTO VELHO";"RO";"Grande Porte";"1,28840227955077e+01";"2,55146509086973e+01";"1. Despertados (Efeito Indutor)"
"1100254";"PRESIDENTE MEDICI";"RO";"Pequeno Porte I";"3,16849741875375e+00";"1,21851101414815e+01";"1. Despertados (Efeito Indutor)"
"1100262";"RIO CRESPO";"RO";"Pequeno Porte I";"5,98262567507704e+01";"9,71073869137678e+01";"1. Despertados (Efeito Indutor)"
"1100288";"ROLIM DE MOURA";"RO";"Médio Porte";"1,77665286739991e+01";"0,00000000000000e+00";"4. Efeito Substituição (Retração Local)"
"1100296";"SANTA LUZIA D'OESTE";"RO";"Pequeno Porte I";"0,00000000000000e+00";"5,92040268230220e+01";"1. Despertados (Efeito Indutor)"
"1100304";"VILHENA";"RO";"Médio Porte";"1,62995329462681e+01";"1,32421660823107e+01";"2. Constantes (Sustentabilidade)"
"1100320";"SAO MIGUEL DO GUAPORE";"RO";"Pequeno Porte II";"1,68949345859674e+01";"4,29732947949168e+01";"1. Despertados (Efeito Indutor)"
"1100338";"NOVA MAMORE";"RO";"Pequeno Porte II";"1,75889773984692e+00";"1,00853690850811e+01";"1. Despertados (Efeito Indutor)"
"1100379";"ALTO ALEGRE DOS PARECIS";"RO";"Pequeno Porte I";"0,00000000000000e+00";"5,96928492491592e+01";"1. Despertados (Efeito Indutor)"
"1100452";"BURITIS";"RO";"Pequeno Porte II";"3,26017820754519e+01";"5,78635187751372e+00";"4. Efeito Substituição (Retração Local)"
"1100601";"CACAULANDIA";"RO";"Pequeno Porte I";"0,00000000000000e+00";"1,94295697799323e+01";"1. Despertados (Efeito Indutor)"
"1100700";"CAMPO NOVO DE RONDONIA";"RO";"Pequeno Porte I";"8,76491031335295e-01";"2,07123349320559e+01";"1. Despertados (Efeito Indutor)"
"1100809";"CANDEIAS DO JAMARI";"RO";"Pequeno Porte II";"3,90810479964031e+01";"4,67212135436190e+01";"2. Constantes (Sustentabilidade)"
"1100924";"CHUPINGUAIA";"RO";"Pequeno Porte I";"0,00000000000000e+00";"6,86576308451308e+00";"1. Despertados (Efeito Indutor)"
"1100940";"CUJUBIM";"RO";"Pequeno Porte I";"0,00000000000000e+00";"1,56904007329694e+01";"1. Despertados (Efeito Indutor)"
"1101005";"GOVERNADOR JORGE TEIXEIRA";"RO";"Pequeno Porte I";"0,00000000000000e+00";"2,16491563554556e+00";"2. Constantes (Sustentabilidade)"
"1101104";"ITAPUA DO OESTE";"RO";"Pequeno Porte I";"3,73916409201767e+00";"4,07309471263126e+00";"2. Constantes (Sustentabilidade)"
"1101203";"MINISTRO ANDREAZZA";"RO";"Pequeno Porte I";"0,00000000000000e+00";"7,27565430649290e+00";"1. Despertados (Efeito Indutor)"
"1101302";"MIRANTE DA SERRA";"RO";"Pequeno Porte I";"4,10436491056332e-01";"2,59590753614335e+01";"1. Despertados (Efeito Indutor)"
"1101401";"MONTE NEGRO";"RO";"Pequeno Porte I";"3,50919106657690e-01";"3,12302436218652e+01";"1. Despertados (Efeito Indutor)"
"1101435";"NOVA UNIAO";"RO";"Pequeno Porte I";"0,00000000000000e+00";"2,51938150921814e+01";"1. Despertados (Efeito Indutor)"
"1101450";"PARECIS";"RO";"Pequeno Porte I";"1,10028724869744e+01";"8,37921170360583e+01";"1. Despertados (Efeito Indutor)"
"1101468";"PIMENTEIRAS DO OESTE";"RO";"Pequeno Porte I";"7,82806320627752e+01";"3,44675923227466e+01";"4. Efeito Substituição (Retração Local)"
