"exercicio";"nivel_invest_cat";"Grande Porte";"Metrópole";"Médio Porte";"Pequeno Porte I";"Pequeno Porte II"
"2019";"1. Até 0,5%";"109";"4";"106";"999";"283"
"2019";"2. Entre 0,5% e 1,0%";"114";"3";"93";"688";"278"
"2019";"3. Entre 1,0% e 2,0%";"55";"4";"89";"876";"274"
"2019";"4. Mais de 2,0%";"11";"0";"36";"737";"140"
"2020";"1. Até 0,5%";"100";"3";"113";"1538";"393"
"2020";"2. Entre 0,5% e 1,0%";"123";"5";"121";"852";"301"
"2020";"3. Entre 1,0% e 2,0%";"60";"3";"73";"619";"217"
"2020";"4. Mais de 2,0%";"3";"1";"20";"305";"63"
"2021";"1. Até 0,5%";"151";"6";"204";"1837";"575"
"2021";"2. Entre 0,5% e 1,0%";"117";"5";"85";"825";"274"
"2021";"3. Entre 1,0% e 2,0%";"19";"3";"33";"485";"117"
"2021";"4. Mais de 2,0%";"2";"0";"6";"162";"22"
"2022";"1. Até 0,5%";"126";"6";"99";"940";"272"
"2022";"2. Entre 0,5% e 1,0%";"101";"4";"101";"636";"246"
"2022";"3. Entre 1,0% e 2,0%";"56";"3";"99";"937";"325"
"2022";"4. Mais de 2,0%";"11";"0";"33";"937";"153"
"2023";"1. Até 0,5%";"86";"2";"65";"785";"201"
"2023";"2. Entre 0,5% e 1,0%";"112";"5";"83";"520";"219"
"2023";"3. Entre 1,0% e 2,0%";"85";"5";"106";"868";"323"
"2023";"4. Mais de 2,0%";"19";"1";"72";"1322";"262"
"2024";"1. Até 0,5%";"89";"3";"63";"765";"191"
"2024";"2. Entre 0,5% e 1,0%";"104";"5";"88";"537";"214"
"2024";"3. Entre 1,0% e 2,0%";"78";"6";"105";"759";"284"
"2024";"4. Mais de 2,0%";"28";"1";"75";"1478";"318"
"2025";"1. Até 0,5%";"97";"3";"66";"637";"172"
"2025";"2. Entre 0,5% e 1,0%";"97";"5";"72";"455";"168"
"2025";"3. Entre 1,0% e 2,0%";"65";"5";"93";"705";"257"
"2025";"4. Mais de 2,0%";"26";"2";"78";"1463";"322"
