"regiao_munic";"Efeito";"Valor"
"Centro-Oeste";"Efeito Indutor (+)";"28,10304449648712"
"Centro-Oeste";"Efeito Substituição (-)";"-4,44964871194379"
"Nordeste";"Efeito Indutor (+)";"18,88387824126268"
"Nordeste";"Efeito Substituição (-)";"-4,22773393461105"
"Norte";"Efeito Indutor (+)";"31,38173302107728"
"Norte";"Efeito Substituição (-)";"-2,81030444964871"
"Sudeste";"Efeito Indutor (+)";"10,61622940817572"
"Sudeste";"Efeito Substituição (-)";"-1,70835875533862"
"Sul";"Efeito Indutor (+)";"12,16795201371037"
"Sul";"Efeito Substituição (-)";"-4,88431876606684"
