"regiao_munic";"Efeito";"Valor"
"Centro-Oeste";"Efeito Indutor (+)";"69,55503512880561"
"Centro-Oeste";"Efeito Substituição (-)";"-8,43091334894614"
"Nordeste";"Efeito Indutor (+)";"81,11612175873731"
"Nordeste";"Efeito Substituição (-)";"-7,72266065388952"
"Norte";"Efeito Indutor (+)";"74,70725995316160"
"Norte";"Efeito Substituição (-)";"-6,08899297423888"
"Sudeste";"Efeito Indutor (+)";"79,49969493593655"
"Sudeste";"Efeito Substituição (-)";"-4,82001220256254"
"Sul";"Efeito Indutor (+)";"64,78149100257069"
"Sul";"Efeito Substituição (-)";"-9,59725792630677"
