"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"1100015";"ALTA FLORESTA D'OESTE";"RO";"Pequeno Porte II";"0,000000000000000000";"8,36944194481229609";"1. Despertados (Efeito Indutor)"
"1100023";"ARIQUEMES";"RO";"Médio Porte";"26,453878078052596834";"26,15882388761420785";"2. Constantes (Sustentabilidade)"
"1100031";"CABIXI";"RO";"Pequeno Porte I";"0,000000000000000000";"9,52804829565342004";"1. Despertados (Efeito Indutor)"
"1100049";"CACOAL";"RO";"Médio Porte";"16,488709446302070916";"41,36581269977476438";"1. Despertados (Efeito Indutor)"
"1100056";"CEREJEIRAS";"RO";"Pequeno Porte I";"10,783869420917115534";"41,78561619759209833";"1. Despertados (Efeito Indutor)"
"1100064";"COLORADO DO OESTE";"RO";"Pequeno Porte I";"0,350005422661718524";"1,21825746940972568";"2. Constantes (Sustentabilidade)"
"1100080";"COSTA MARQUES";"RO";"Pequeno Porte I";"0,000000000000000000";"9,60792023399336159";"1. Despertados (Efeito Indutor)"
"1100098";"ESPIGAO D'OESTE";"RO";"Pequeno Porte II";"1,066042712464702724";"44,22738721498790682";"1. Despertados (Efeito Indutor)"
"1100106";"GUAJARA-MIRIM";"RO";"Pequeno Porte II";"6,768108568985990559";"8,25325579853577374";"2. Constantes (Sustentabilidade)"
"1100114";"JARU";"RO";"Médio Porte";"2,809081769893948533";"0,00000000000000000";"2. Constantes (Sustentabilidade)"
"1100122";"JI-PARANA";"RO";"Grande Porte";"20,638939616766307950";"28,79241068069228149";"2. Constantes (Sustentabilidade)"
"1100130";"MACHADINHO D'OESTE";"RO";"Pequeno Porte II";"1,087991522081804607";"0,00000000000000000";"2. Constantes (Sustentabilidade)"
"1100148";"NOVA BRASILANDIA D'OESTE";"RO";"Pequeno Porte I";"19,445327777700637029";"9,00614431587471209";"4. Efeito Substituição (Retração Local)"
"1100155";"OURO PRETO DO OESTE";"RO";"Pequeno Porte II";"1,891248747964157539";"45,35028686739455850";"1. Despertados (Efeito Indutor)"
"1100189";"PIMENTA BUENO";"RO";"Pequeno Porte II";"10,483891983388911484";"17,03989694456612369";"2. Constantes (Sustentabilidade)"
"1100205";"PORTO VELHO";"RO";"Grande Porte";"12,884022795507656056";"25,51465090869725216";"1. Despertados (Efeito Indutor)"
"1100254";"PRESIDENTE MEDICI";"RO";"Pequeno Porte I";"3,168497418753751127";"12,18511014148145222";"1. Despertados (Efeito Indutor)"
"1100262";"RIO CRESPO";"RO";"Pequeno Porte I";"59,826256750770411941";"97,10738691376784004";"1. Despertados (Efeito Indutor)"
"1100288";"ROLIM DE MOURA";"RO";"Médio Porte";"17,766528673999086863";"0,00000000000000000";"4. Efeito Substituição (Retração Local)"
"1100296";"SANTA LUZIA D'OESTE";"RO";"Pequeno Porte I";"0,000000000000000000";"59,20402682302196951";"1. Despertados (Efeito Indutor)"
"1100304";"VILHENA";"RO";"Médio Porte";"16,299532946268062261";"13,24216608231071035";"2. Constantes (Sustentabilidade)"
"1100320";"SAO MIGUEL DO GUAPORE";"RO";"Pequeno Porte II";"16,894934585967394725";"42,97329479491683912";"1. Despertados (Efeito Indutor)"
"1100338";"NOVA MAMORE";"RO";"Pequeno Porte II";"1,758897739846924768";"10,08536908508109065";"1. Despertados (Efeito Indutor)"
"1100379";"ALTO ALEGRE DOS PARECIS";"RO";"Pequeno Porte I";"0,000000000000000000";"59,69284924915915269";"1. Despertados (Efeito Indutor)"
"1100452";"BURITIS";"RO";"Pequeno Porte II";"32,601782075451872345";"5,78635187751371749";"4. Efeito Substituição (Retração Local)"
"1100601";"CACAULANDIA";"RO";"Pequeno Porte I";"0,000000000000000000";"19,42956977993229017";"1. Despertados (Efeito Indutor)"
"1100700";"CAMPO NOVO DE RONDONIA";"RO";"Pequeno Porte I";"0,876491031335295046";"20,71233493205592069";"1. Despertados (Efeito Indutor)"
"1100809";"CANDEIAS DO JAMARI";"RO";"Pequeno Porte II";"39,081047996403057709";"46,72121354361902945";"2. Constantes (Sustentabilidade)"
"1100924";"CHUPINGUAIA";"RO";"Pequeno Porte I";"0,000000000000000000";"6,86576308451308481";"1. Despertados (Efeito Indutor)"
"1100940";"CUJUBIM";"RO";"Pequeno Porte I";"0,000000000000000000";"15,69040073296940108";"1. Despertados (Efeito Indutor)"
"1101005";"GOVERNADOR JORGE TEIXEIRA";"RO";"Pequeno Porte I";"0,000000000000000000";"2,16491563554555677";"2. Constantes (Sustentabilidade)"
"1101104";"ITAPUA DO OESTE";"RO";"Pequeno Porte I";"3,739164092017667862";"4,07309471263126177";"2. Constantes (Sustentabilidade)"
"1101203";"MINISTRO ANDREAZZA";"RO";"Pequeno Porte I";"0,000000000000000000";"7,27565430649290423";"1. Despertados (Efeito Indutor)"
"1101302";"MIRANTE DA SERRA";"RO";"Pequeno Porte I";"0,410436491056331731";"25,95907536143354832";"1. Despertados (Efeito Indutor)"
"1101401";"MONTE NEGRO";"RO";"Pequeno Porte I";"0,350919106657689550";"31,23024362186517067";"1. Despertados (Efeito Indutor)"
"1101435";"NOVA UNIAO";"RO";"Pequeno Porte I";"0,000000000000000000";"25,19381509218142412";"1. Despertados (Efeito Indutor)"
"1101450";"PARECIS";"RO";"Pequeno Porte I";"11,002872486974361266";"83,79211703605834316";"1. Despertados (Efeito Indutor)"
"1101468";"PIMENTEIRAS DO OESTE";"RO";"Pequeno Porte I";"78,280632062775168833";"34,46759232274660434";"4. Efeito Substituição (Retração Local)"
"1101476";"PRIMAVERA DE RONDONIA";"RO";"Pequeno Porte I";"2,585575596501532125";"29,88023613224977737";"1. Despertados (Efeito Indutor)"
"1101484";"SAO FELIPE D'OESTE";"RO";"Pequeno Porte I";"0,000000000000000000";"6,36893605261121376";"1. Despertados (Efeito Indutor)"
"1101492";"SAO FRANCISCO DO GUAPORE";"RO";"Pequeno Porte I";"4,086359591531216751";"6,84548235745540090";"2. Constantes (Sustentabilidade)"
"1101500";"SERINGUEIRAS";"RO";"Pequeno Porte I";"0,212568258883354871";"0,21887028914152717";"2. Constantes (Sustentabilidade)"
"1101559";"TEIXEIROPOLIS";"RO";"Pequeno Porte I";"0,000000000000000000";"30,13455682114366141";"1. Despertados (Efeito Indutor)"
"1101609";"THEOBROMA";"RO";"Pequeno Porte I";"0,199055186150040808";"8,36667201765294699";"1. Despertados (Efeito Indutor)"
"1101708";"URUPA";"RO";"Pequeno Porte I";"0,000000000000000000";"78,39342535727172390";"1. Despertados (Efeito Indutor)"
"1101757";"VALE DO ANARI";"RO";"Pequeno Porte I";"0,000000000000000000";"14,94725959599167453";"1. Despertados (Efeito Indutor)"
"1200054";"ASSIS BRASIL";"AC";"Pequeno Porte I";"2,775295231515446215";"84,15737981847698279";"1. Despertados (Efeito Indutor)"
"1200104";"BRASILEIA";"AC";"Pequeno Porte II";"25,891152778599060724";"73,01703176970961806";"1. Despertados (Efeito Indutor)"
"1200138";"BUJARI";"AC";"Pequeno Porte I";"0,000000000000000000";"30,35400061909319191";"1. Despertados (Efeito Indutor)"
"1200179";"CAPIXABA";"AC";"Pequeno Porte I";"0,000000000000000000";"4,18482871439568882";"2. Constantes (Sustentabilidade)"
"1200203";"CRUZEIRO DO SUL";"AC";"Médio Porte";"17,179191801516655147";"32,64338776199787873";"1. Despertados (Efeito Indutor)"
"1200252";"EPITACIOLANDIA";"AC";"Pequeno Porte I";"23,612187829518745730";"18,03492684380514177";"2. Constantes (Sustentabilidade)"
"1200302";"FEIJO";"AC";"Pequeno Porte II";"32,689229903357947649";"45,01427775112256313";"1. Despertados (Efeito Indutor)"
"1200328";"JORDAO";"AC";"Pequeno Porte I";"0,000000000000000000";"34,80293444625497301";"1. Despertados (Efeito Indutor)"
"1200336";"MANCIO LIMA";"AC";"Pequeno Porte I";"21,094256957882731029";"46,25738438115259754";"1. Despertados (Efeito Indutor)"
"1200344";"MANOEL URBANO";"AC";"Pequeno Porte I";"8,419839941501217950";"21,57674215334041179";"1. Despertados (Efeito Indutor)"
"1200351";"MARECHAL THAUMATURGO";"AC";"Pequeno Porte I";"41,216581548810225399";"107,27770867723964443";"1. Despertados (Efeito Indutor)"
"1200385";"PLACIDO DE CASTRO";"AC";"Pequeno Porte I";"37,039003821910014835";"9,78466576520322207";"4. Efeito Substituição (Retração Local)"
"1200393";"PORTO WALTER";"AC";"Pequeno Porte I";"10,857175318295345434";"24,12336427717087162";"1. Despertados (Efeito Indutor)"
"1200401";"RIO BRANCO";"AC";"Grande Porte";"24,380454851533588823";"32,67586160677288376";"2. Constantes (Sustentabilidade)"
"1200427";"RODRIGUES ALVES";"AC";"Pequeno Porte I";"2,864460468592449072";"27,94626451382207577";"1. Despertados (Efeito Indutor)"
"1200435";"SANTA ROSA DO PURUS";"AC";"Pequeno Porte I";"43,140190660087711194";"43,98793668328188033";"2. Constantes (Sustentabilidade)"
"1200450";"SENADOR GUIOMARD";"AC";"Pequeno Porte II";"9,635109761821384566";"7,03795361532312391";"2. Constantes (Sustentabilidade)"
"1200500";"SENA MADUREIRA";"AC";"Pequeno Porte II";"17,679788349017741211";"36,63824870451073679";"1. Despertados (Efeito Indutor)"
"1200609";"TARAUACA";"AC";"Pequeno Porte II";"5,157236662042961939";"52,15334548283331628";"1. Despertados (Efeito Indutor)"
"1200708";"XAPURI";"AC";"Pequeno Porte I";"87,952140709334457824";"181,99891160675031188";"1. Despertados (Efeito Indutor)"
"1200807";"PORTO ACRE";"AC";"Pequeno Porte I";"0,000000000000000000";"0,11742496854969149";"2. Constantes (Sustentabilidade)"
"1300029";"ALVARAES";"AM";"Pequeno Porte I";"0,000000000000000000";"53,58508773702557448";"1. Despertados (Efeito Indutor)"
"1300060";"AMATURA";"AM";"Pequeno Porte I";"3,025807618122410947";"1,63993539635097707";"2. Constantes (Sustentabilidade)"
"1300086";"ANAMA";"AM";"Pequeno Porte I";"33,779237870156151757";"0,00000000000000000";"4. Efeito Substituição (Retração Local)"
"1300102";"ANORI";"AM";"Pequeno Porte I";"5,848880683499865007";"59,10937336890961546";"1. Despertados (Efeito Indutor)"
