"exercicio";"esfera";"fonte_padronizada";"valor_real"
"2019";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"7466731578,74450111"
"2020";"Municipal";"Emendas Parlamentares";"8567011,87685774"
"2020";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"1202361935,10849023"
"2020";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"7072780400,31733608"
"2021";"Municipal";"Emendas Parlamentares";"3848667,42816990"
"2021";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"525270191,25952613"
"2021";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"5390222019,39711666"
"2022";"Municipal";"Emendas Parlamentares";"40265681,68567396"
"2022";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"80193199,24292070"
"2022";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"9156365868,34343147"
"2023";"Municipal";"Emendas Parlamentares";"80239966,97917666"
"2023";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"14187255,58576134"
"2023";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"605301289,88793564"
"2023";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"1927630,64129660"
"2023";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"12553274059,31272316"
"2024";"Municipal";"Emendas Parlamentares";"184084568,03999999"
"2024";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"3195730,40000000"
"2024";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"782606281,44000006"
"2024";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"583600362,52999997"
"2024";"Municipal";"Transferências Especiais (LAB/LPG/PNAB)";"14910242486,00000000"
"2019";"Estadual";"Recursos Próprios";"3342999394,65461922"
"2020";"Estadual";"Transferências Especiais (LAB/LPG/PNAB)";"1900940262,39358616"
"2020";"Estadual";"Recursos Próprios";"4676636775,29497337"
"2021";"Estadual";"Recursos Próprios";"4509289830,15765190"
"2022";"Estadual";"Emendas Parlamentares";"4320960,67022063"
"2022";"Estadual";"Recursos Próprios";"5068935823,35976982"
"2023";"Estadual";"Emendas Parlamentares";"10586132,29522024"
"2023";"Estadual";"Transferências Especiais (LAB/LPG/PNAB)";"739365790,77416849"
"2023";"Estadual";"Recursos Próprios";"5107281093,60609245"
"2024";"Estadual";"Emendas Parlamentares";"15200110,18000000"
"2024";"Estadual";"Transferências Especiais (LAB/LPG/PNAB)";"1388350417,65000010"
"2024";"Estadual";"Transferências Especiais (LAB/LPG/PNAB)";"557625422,97000003"
"2024";"Estadual";"Recursos Próprios";"5734061583,61999989"
"2019";"Federal";"Incentivo Fiscal (Renúncia)";"2498760164,15962887"
"2019";"Federal";"Orçamento Direto / Fundos";"2416605420,15606022"
"2020";"Federal";"Incentivo Fiscal (Renúncia)";"1907145679,15184689"
"2020";"Federal";"Orçamento Direto / Fundos";"1636964517,44271469"
"2020";"Federal";"Transferências / Fomento Descentralizado";"3875843340,56467438"
"2021";"Federal";"Incentivo Fiscal (Renúncia)";"1993706111,95877147"
"2021";"Federal";"Orçamento Direto / Fundos";"1504605988,60960078"
"2022";"Federal";"Incentivo Fiscal (Renúncia)";"2590826751,86591196"
"2022";"Federal";"Orçamento Direto / Fundos";"1357669159,60527515"
"2023";"Federal";"Incentivo Fiscal (Renúncia)";"2563075681,49711466"
"2023";"Federal";"Orçamento Direto / Fundos";"3375435948,82293797"
"2023";"Federal";"Transferências / Fomento Descentralizado";"7161692220,38339996"
"2024";"Federal";"Incentivo Fiscal (Renúncia)";"3265406436,50000000"
"2024";"Federal";"Orçamento Direto / Fundos";"2962914903,23000002"
"2024";"Federal";"Transferências / Fomento Descentralizado";"10803999,99999999"
