Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_RREO2TotalDespesas;2,31162E+11
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Legislativa;siconfi-cor_RREO2TotalDespesas;1735689465
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Ação Legislativa;siconfi-cor_RREO2TotalDespesas;1046810919
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Controle Externo;siconfi-cor_RREO2TotalDespesas;667685394
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU01 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;21193152
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Judiciária;siconfi-cor_RREO2TotalDespesas;9368183573
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Ação Judiciária;siconfi-cor_RREO2TotalDespesas;8815391844
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU02 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;552791729
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Essencial à Justiça;siconfi-cor_RREO2TotalDespesas;4144272226
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Defesa da Ordem Jurídica;siconfi-cor_RREO2TotalDespesas;11805263
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Representação Judicial e Extrajudicial;siconfi-cor_RREO2TotalDespesas;1282337675
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU03 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;2850129288
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Administração;siconfi-cor_RREO2TotalDespesas;5335787212
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Planejamento e Orçamento;siconfi-cor_RREO2TotalDespesas;55070310
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU04 - Administração Geral;siconfi-cor_RREO2TotalDespesas;857529421
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Administração Financeira;siconfi-cor_RREO2TotalDespesas;121664256
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Controle Interno;siconfi-cor_RREO2TotalDespesas;19642531
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Normatização e Fiscalização;siconfi-cor_RREO2TotalDespesas;957765646
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Tecnologia da Informação;siconfi-cor_RREO2TotalDespesas;1166619504
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Ordenamento Territorial;siconfi-cor_RREO2TotalDespesas;629741339
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Formação de Recursos Humanos;siconfi-cor_RREO2TotalDespesas;11375614
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Administração de Receitas;siconfi-cor_RREO2TotalDespesas;1354124695
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Comunicação Social;siconfi-cor_RREO2TotalDespesas;2000010
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU04 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;160253886
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Segurança Pública;siconfi-cor_RREO2TotalDespesas;12544544382
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Policiamento;siconfi-cor_RREO2TotalDespesas;10782917327
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Defesa Civil;siconfi-cor_RREO2TotalDespesas;44221269
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Informação e Inteligência;siconfi-cor_RREO2TotalDespesas;354275912
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU06 - Administração Geral;siconfi-cor_RREO2TotalDespesas;989653284
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU06 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;373476590
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Assistência Social;siconfi-cor_RREO2TotalDespesas;817706372
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Assistência à Criança e ao Adolescente;siconfi-cor_RREO2TotalDespesas;3684000
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Assistência Comunitária;siconfi-cor_RREO2TotalDespesas;398092892
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU08 - Administração Geral;siconfi-cor_RREO2TotalDespesas;75428799
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU08 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;340500681
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Previdência Social;siconfi-cor_RREO2TotalDespesas;37554951854
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Previdência do Regime Estatutário;siconfi-cor_RREO2TotalDespesas;35675865470
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Previdência Complementar;siconfi-cor_RREO2TotalDespesas;1663973616
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Previdência Especial;siconfi-cor_RREO2TotalDespesas;39435414
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU09 - Administração Geral;siconfi-cor_RREO2TotalDespesas;164678317
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU09 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;10999037
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Saúde;siconfi-cor_RREO2TotalDespesas;25035802906
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Atenção Básica;siconfi-cor_RREO2TotalDespesas;446761813
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Assistência Hospitalar e Ambulatorial;siconfi-cor_RREO2TotalDespesas;20856152648
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Suporte Profilático e Terapêutico;siconfi-cor_RREO2TotalDespesas;1991859074
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Vigilância Sanitária;siconfi-cor_RREO2TotalDespesas;12164382
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Vigilância Epidemiológica;siconfi-cor_RREO2TotalDespesas;131949999
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Alimentação e Nutrição;siconfi-cor_RREO2TotalDespesas;105884000
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU10 - Administração Geral;siconfi-cor_RREO2TotalDespesas;1052932366
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU10 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;438098624
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Trabalho;siconfi-cor_RREO2TotalDespesas;354555857
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Proteção e Benefícios ao Trabalhador;siconfi-cor_RREO2TotalDespesas;35994002
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Relações de Trabalho;siconfi-cor_RREO2TotalDespesas;557309
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Empregabilidade;siconfi-cor_RREO2TotalDespesas;90335226
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Fomento ao Trabalho;siconfi-cor_RREO2TotalDespesas;3685915
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU11 - Administração Geral;siconfi-cor_RREO2TotalDespesas;16181003
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU11 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;207802402
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Educação;siconfi-cor_RREO2TotalDespesas;35201828860
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Ensino Fundamental;siconfi-cor_RREO2TotalDespesas;19500000
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Ensino Médio;siconfi-cor_RREO2TotalDespesas;402312299
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Ensino Profissional;siconfi-cor_RREO2TotalDespesas;1504748686
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Ensino Superior;siconfi-cor_RREO2TotalDespesas;6019632937
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Educação de Jovens e Adultos;siconfi-cor_RREO2TotalDespesas;2000000
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Educação Especial;siconfi-cor_RREO2TotalDespesas;276564018
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Educação Básica;siconfi-cor_RREO2TotalDespesas;14971524312
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU12 - Administração Geral;siconfi-cor_RREO2TotalDespesas;3149566512
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU12 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;8855980096
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Cultura;siconfi-cor_RREO2TotalDespesas;819537259
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Patrimônio Histórico Artístico e Arqueológico;siconfi-cor_RREO2TotalDespesas;142170322
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Difusão Cultural;siconfi-cor_RREO2TotalDespesas;660824536
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU13 - Administração Geral;siconfi-cor_RREO2TotalDespesas;16542401
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Direitos da Cidadania;siconfi-cor_RREO2TotalDespesas;5732223099
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Custódia e Reintegração Social;siconfi-cor_RREO2TotalDespesas;3563019580
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Direitos Individuais Coletivos e Difusos;siconfi-cor_RREO2TotalDespesas;199933265
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU14 - Administração Geral;siconfi-cor_RREO2TotalDespesas;547143387
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU14 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;1422126867
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Habitação;siconfi-cor_RREO2TotalDespesas;1677361202
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;Habitação Urbana;siconfi-cor_RREO2TotalDespesas;1597400237
Governo do Estado de São Paulo;35;SP;45538936;DOTAÇÃO INICIAL;FU16 - Administração Geral;siconfi-cor_RREO2TotalDespesas;30528577
